full_text,bigrams
"['jay', 'idzes', 'akhir', 'buka', 'suara', 'kalah', 'dramatis', 'timnas', 'indonesia', 'arab', 'saudi', 'skor', 'kualifikasi', 'piala', 'dunia', 'sang', 'kapten', 'garuda', 'ungkap', 'salah', 'fatal', 'jadi', 'titik', 'balik', 'kalah', 'indonesia', 'meski', 'unggul', 'lebih', 'dulu', 'fyp', 'football', 'football']","['jay idzes', 'idzes akhir', 'akhir buka', 'buka suara', 'suara kalah', 'kalah dramatis', 'dramatis timnas', 'timnas indonesia', 'indonesia arab', 'arab saudi', 'saudi skor', 'skor kualifikasi', 'kualifikasi piala', 'piala dunia', 'dunia sang', 'sang kapten', 'kapten garuda', 'garuda ungkap', 'ungkap salah', 'salah fatal', 'fatal jadi', 'jadi titik', 'titik balik', 'balik kalah', 'kalah indonesia', 'indonesia meski', 'meski unggul', 'unggul lebih', 'lebih dulu', 'dulu fyp', 'fyp football', 'football football']"
"['kualifikasi', 'piala', 'dunia', 'irak', 'jadi', 'harap', 'akhir', 'timnas', 'indonesia']","['kualifikasi piala', 'piala dunia', 'dunia irak', 'irak jadi', 'jadi harap', 'harap akhir', 'akhir timnas', 'timnas indonesia']"
"['kualifikasi', 'piala', 'dunia', 'irak', 'jadi', 'harap', 'akhir', 'timnas', 'indonesia']","['kualifikasi piala', 'piala dunia', 'dunia irak', 'irak jadi', 'jadi harap', 'harap akhir', 'akhir timnas', 'timnas indonesia']"
"['lihat', 'orang', 'irak', 'remeh', 'tim', 'indonesia', 'tanya', 'main', 'saudi', 'kamu', 'kalah', 'tim', 'indonesia', 'lemah', 'susah', 'payah', 'jadi', 'apa', 'kamu', 'laku', 'lawan', 'tim', 'irak']","['lihat orang', 'orang irak', 'irak remeh', 'remeh tim', 'tim indonesia', 'indonesia tanya', 'tanya main', 'main saudi', 'saudi kamu', 'kamu kalah', 'kalah tim', 'tim indonesia', 'indonesia lemah', 'lemah susah', 'susah payah', 'payah jadi', 'jadi apa', 'apa kamu', 'kamu laku', 'laku lawan', 'lawan tim', 'tim irak']"
"['wts', 'tiket', 'timnas', 'indonesia', 'india', 'category', 'garuda', 'east', 'pake', 'garuda', 'tinggal', 'masuk']","['wts tiket', 'tiket timnas', 'timnas indonesia', 'indonesia india', 'india category', 'category garuda', 'garuda east', 'east pake', 'pake garuda', 'garuda tinggal', 'tinggal masuk']"
"['nyerang', 'pramono', 'anung', 'padahal', 'waktu', 'ganjar', 'tolak', 'timnas', 'sepak', 'bola', 'israel', 'main', 'indonesia', 'semua', 'serang', 'rujak', 'habishabisan', 'pak', 'ganjar']","['nyerang pramono', 'pramono anung', 'anung padahal', 'padahal waktu', 'waktu ganjar', 'ganjar tolak', 'tolak timnas', 'timnas sepak', 'sepak bola', 'bola israel', 'israel main', 'main indonesia', 'indonesia semua', 'semua serang', 'serang rujak', 'rujak habishabisan', 'habishabisan pak', 'pak ganjar']"
"['tidak', 'bom', 'tau', 'upgradenya', 'skuad', 'timnas', 'indonesia', 'latih']","['tidak bom', 'bom tau', 'tau upgradenya', 'upgradenya skuad', 'skuad timnas', 'timnas indonesia', 'indonesia latih']"
"['emang', 'kalau', 'timnas', 'oplos', 'menang', 'pengaruh', 'sejahtera', 'tingkat', 'kualitas', 'hidup', 'seluruh', 'rakyat', 'indonesia']","['emang kalau', 'kalau timnas', 'timnas oplos', 'oplos menang', 'menang pengaruh', 'pengaruh sejahtera', 'sejahtera tingkat', 'tingkat kualitas', 'kualitas hidup', 'hidup seluruh', 'seluruh rakyat', 'rakyat indonesia']"
"['patrick', 'kluivert', 'timnas', 'indonesia', 'bangkit', 'menang', 'lawan', 'irak']","['patrick kluivert', 'kluivert timnas', 'timnas indonesia', 'indonesia bangkit', 'bangkit menang', 'menang lawan', 'lawan irak']"
"['bicara', 'peluang', 'skenario', 'timnas', 'indonesia', 'lolos', 'piala', 'dunia', 'lihat', 'starting', 'setup', 'game', 'play', 'lawan', 'saudi', 'malam', 'semua', 'sedang', 'gurau', 'masalah', 'bukan', 'lolos', 'pantas']","['bicara peluang', 'peluang skenario', 'skenario timnas', 'timnas indonesia', 'indonesia lolos', 'lolos piala', 'piala dunia', 'dunia lihat', 'lihat starting', 'starting setup', 'setup game', 'game play', 'play lawan', 'lawan saudi', 'saudi malam', 'malam semua', 'semua sedang', 'sedang gurau', 'gurau masalah', 'masalah bukan', 'bukan lolos', 'lolos pantas']"
